delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2021-01-24,6475,855,152,150,142,720,322,868,2021,1,6,0,0,3,winter,9684,0.6686286658405618,0.7569186286658406,0.04584882280049566,0.03325072284180091,6878.0,6270.0,759.0,745.0,10012.0,9295.0,8631.5,926.441219578087,0.010852450623926917,False
2021-01-25,5366,752,117,134,149,614,220,754,2021,1,0,1,0,4,winter,8106,0.6619787811497656,0.7547495682210709,0.04934616333580064,0.027140389834690352,6475.0,6878.0,855.0,759.0,9684.0,10012.0,9186.75,734.301652365475,0.005359330075822585,False
2021-01-26,5618,749,131,162,111,710,186,717,2021,1,1,0,0,4,winter,8384,0.6700858778625954,0.7594227099236641,0.048187022900763356,0.022185114503816793,5366.0,6475.0,752.0,855.0,8106.0,9684.0,9274.25,639.4880113549173,0.01607259772371416,False
2021-01-27,5193,627,141,126,140,557,207,795,2021,1,2,0,0,4,winter,7786,0.6669663498587208,0.7474955047521192,0.05227331107115335,0.026586180323657848,5618.0,5366.0,749.0,752.0,8384.0,8106.0,9046.5,710.8672520238924,0.0031764572952122623,False
2021-01-28,5688,744,128,137,137,720,227,722,2021,1,3,0,0,4,winter,8503,0.6689403739856521,0.7564389039162649,0.047277431494766556,0.026696460072915443,5193.0,5618.0,627.0,749.0,7786.0,8384.0,8490.0,568.7641573329556,0.00292667604949814,False
2021-01-29,6357,763,180,206,149,720,194,853,2021,1,4,0,0,4,winter,9422,0.6746975164508597,0.7556781999575461,0.056781999575461685,0.02059010825727022,5688.0,5193.0,744.0,627.0,8503.0,7786.0,8194.75,228.70413930083038,0.008148720967652802,False
2021-01-30,6435,832,141,161,131,720,211,855,2021,1,5,0,1,4,winter,9486,0.6783681214421252,0.7660763230023192,0.045646215475437485,0.022243305924520347,6357.0,5688.0,763.0,744.0,9422.0,8503.0,8523.75,481.2421427930021,0.007084818759077446,False
2021-01-31,6018,741,128,146,191,720,209,938,2021,1,6,0,0,4,winter,9091,0.6619733802661973,0.7434825651743483,0.05114948850511495,0.022989770102298978,6435.0,6357.0,832.0,763.0,9486.0,9422.0,8799.25,588.3691443303262,0.008441458879686994,False
2021-02-01,6517,568,126,156,164,720,210,787,2021,2,0,1,0,5,winter,9248,0.7046929065743944,0.7661115916955017,0.04822664359861592,0.022707612456747406,6018.0,6435.0,741.0,832.0,9091.0,9486.0,9125.5,342.705412854831,0.012553430738799205,False
2021-02-02,5652,624,128,125,137,708,229,741,2021,2,1,0,0,5,winter,8344,0.677372962607862,0.75215723873442,0.04674017257909875,0.027444870565675936,6517.0,6018.0,568.0,741.0,9248.0,9091.0,9311.75,219.13066878006876,0.008294584894756743,False
2021-02-03,5665,721,132,156,141,720,191,771,2021,2,2,0,0,5,winter,8497,0.6667058961986584,0.7515593738966694,0.05048840767329646,0.022478521831234555,5652.0,6517.0,624.0,568.0,8344.0,9248.0,9042.25,400.5084268776378,0.008298670388806792,False
2021-02-04,5466,797,149,157,129,601,268,769,2021,2,3,0,0,5,winter,8336,0.6557101727447217,0.7513195777351248,0.052183301343570056,0.032149712092130515,5665.0,5652.0,721.0,624.0,8497.0,8344.0,8795.0,406.39307736886144,0.0015481596229729943,False
2021-02-05,6493,625,161,181,145,720,264,876,2021,2,4,0,0,5,winter,9465,0.6860010565240359,0.7520338087691495,0.0514527205493925,0.027892234548335976,5466.0,5665.0,797.0,721.0,8336.0,8497.0,8606.25,470.2035020428213,0.004176920890879265,False
2021-02-06,6223,740,146,175,182,720,244,880,2021,2,5,0,1,5,winter,9310,0.6684210526315789,0.747905477980666,0.05402792696025779,0.026208378088077335,6493.0,5466.0,625.0,797.0,9465.0,8336.0,8660.5,458.43574613388677,0.008350297764587181,False
2021-02-07,7000,721,128,178,185,720,288,863,2021,2,6,0,0,5,winter,10083,0.6942378260438362,0.7657443221263512,0.04869582465536051,0.02856292770008926,6223.0,6493.0,740.0,625.0,9310.0,9465.0,8902.0,477.6005129812991,0.01010895985700254,False
2021-02-08,5479,576,126,173,148,720,267,775,2021,2,0,1,0,6,winter,8264,0.6629961277831559,0.7326960309777347,0.05409002904162633,0.032308809293320424,7000.0,6223.0,721.0,740.0,10083.0,9310.0,9298.5,639.9617176050455,0.009455502586730263,False
2021-02-09,6110,681,140,145,141,720,260,719,2021,2,1,0,0,6,winter,8916,0.6852848811126065,0.7616644235082997,0.0477792732166891,0.029161058770749215,5479.0,7000.0,576.0,721.0,8264.0,10083.0,9280.5,634.3534109626904,0.006852000097688245,False
2021-02-10,5774,637,144,164,165,720,157,758,2021,2,2,0,0,6,winter,8519,0.677779082051884,0.7525531165629769,0.0555229487028994,0.018429393121258363,6110.0,5479.0,681.0,576.0,8916.0,8264.0,9143.25,624.0817254174328,0.004765313215925891,False
2021-02-11,5090,614,148,161,130,494,221,717,2021,2,3,0,0,6,winter,7575,0.671947194719472,0.753003300330033,0.05795379537953795,0.029174917491749174,5774.0,6110.0,637.0,681.0,8519.0,8916.0,8945.5,658.7044734426306,0.0025787344704591773,False
2021-02-12,6090,769,163,183,129,720,256,888,2021,2,4,0,0,6,winter,9198,0.6621004566210046,0.7457055881713416,0.051641661230702324,0.027832137421178516,5090.0,5774.0,614.0,637.0,7575.0,8519.0,8318.5,433.74906339956533,0.0032681073579480754,False
2021-02-13,6891,603,142,183,139,720,268,904,2021,2,5,0,1,6,winter,9850,0.6995939086294416,0.7608121827411167,0.047106598984771576,0.02720812182741117,6090.0,5090.0,769.0,614.0,9198.0,7575.0,8552.0,476.2184372743249,0.01278695328710841,False
2021-02-14,6125,804,162,177,164,720,218,869,2021,2,6,0,0,6,winter,9239,0.6629505357722697,0.7499729407944583,0.0544431215499513,0.023595627232384456,6891.0,6090.0,603.0,769.0,9850.0,9198.0,8785.5,747.2506830597973,0.006410563682176478,False
2021-02-15,5447,677,142,131,138,720,190,731,2021,2,0,1,0,7,winter,8176,0.6662181996086106,0.7490215264187867,0.05026908023483366,0.023238747553816046,6125.0,6891.0,804.0,603.0,9239.0,9850.0,8965.5,738.4899006305594,0.005184914781946438,False
2021-02-16,5571,709,130,174,152,720,242,841,2021,2,1,0,0,7,winter,8539,0.6524183159620565,0.7354491158215247,0.05340203770933365,0.028340555100128822,5447.0,6125.0,677.0,804.0,8176.0,9239.0,9115.75,590.7517103939128,0.0045153361870469335,False
2021-02-17,5428,510,149,142,142,720,156,716,2021,2,2,0,0,7,winter,7963,0.6816526434760769,0.7456988572146176,0.05437649127213362,0.019590606555318347,5571.0,5447.0,709.0,677.0,8539.0,8176.0,8951.0,658.0443247482144,0.011129226415645597,False
2021-02-18,4940,594,135,159,144,425,128,762,2021,2,3,0,0,7,winter,7287,0.6779195828187182,0.7594346095787018,0.06010703993412927,0.017565527651982982,5428.0,5571.0,510.0,709.0,7963.0,8539.0,8479.25,327.6933271622519,0.014305884293442057,False
2021-02-19,6160,780,158,175,172,720,274,849,2021,2,4,0,0,7,winter,9288,0.6632213608957795,0.7472006890611542,0.05437123169681309,0.02950043066322136,4940.0,5428.0,594.0,510.0,7287.0,7963.0,7991.25,278.3193609267358,0.004902625047861494,False
2021-02-20,6262,761,159,165,168,720,248,903,2021,2,5,0,1,7,winter,9386,0.6671638610696783,0.7482420626464947,0.05241849563179203,0.026422331131472406,6160.0,4940.0,780.0,594.0,9288.0,7287.0,8269.25,502.31953641747464,0.001237584912350236,False
2021-02-21,5627,657,132,130,152,720,242,881,2021,2,6,0,0,7,winter,8541,0.6588221519728369,0.7357452288959139,0.04847207586933614,0.02833391874487765,6262.0,6160.0,761.0,780.0,9386.0,9288.0,8481.0,626.8979183248258,0.004966057106034215,False
2021-02-22,5881,743,129,174,141,720,196,708,2021,2,0,1,0,8,winter,8692,0.6765991716520939,0.762080073630925,0.051081454210768526,0.022549470777726646,5627.0,6262.0,657.0,761.0,8541.0,9386.0,8625.5,605.9270445633973,0.004801863007360145,False
2021-02-23,5189,625,140,181,121,608,178,777,2021,2,1,0,0,8,winter,7819,0.6636398516434326,0.7435733469753165,0.056528967898708274,0.022765059470520526,5881.0,5627.0,743.0,657.0,8692.0,8541.0,8976.75,286.5362106261617,0.007264753123293069,False
2021-02-24,5454,522,141,139,133,600,194,775,2021,2,2,0,0,8,winter,7958,0.6853480774063835,0.7509424478512189,0.051897461673787386,0.024377984418195525,5189.0,5881.0,625.0,743.0,7819.0,8692.0,8609.5,450.4570826764003,0.002715971315693345,False
2021-02-25,5434,673,134,174,135,570,263,748,2021,2,3,0,0,8,winter,8131,0.6683064813676055,0.751076128397491,0.054482843438691426,0.03234534497601771,5454.0,5189.0,522.0,625.0,7958.0,7819.0,8252.5,291.2197051483068,0.0015972292087176308,False
2021-02-26,6715,774,148,179,188,720,256,880,2021,2,4,0,0,8,winter,9860,0.6810344827586207,0.7595334685598377,0.052231237322515216,0.025963488843813387,5434.0,5454.0,673.0,522.0,8131.0,7958.0,8150.0,287.46767934268144,0.0037271796667795475,False
2021-02-27,6702,688,153,172,165,720,189,801,2021,2,5,0,1,8,winter,9590,0.6988529718456725,0.7705943691345151,0.051094890510948905,0.01970802919708029,6715.0,5434.0,774.0,673.0,9860.0,8131.0,8442.0,688.6222960859362,0.00781346027256815,False
2021-02-28,5934,715,146,207,176,720,267,860,2021,2,6,0,0,8,winter,9025,0.6575069252077562,0.7367313019390582,0.05861495844875346,0.029584487534626037,6702.0,6715.0,688.0,774.0,9590.0,9860.0,8884.75,730.1243615531079,0.0051641871348578295,False
2021-03-01,4900,663,137,144,155,381,220,851,2021,3,0,1,0,9,spring,7451,0.6576298483425044,0.7466111931284392,0.058515635485169776,0.029526238088847134,5934.0,6702.0,715.0,688.0,9025.0,9590.0,9151.5,625.7488180838485,0.007877845460118967,False
2021-03-02,5078,750,131,160,139,493,189,775,2021,3,1,0,0,9,spring,7715,0.658198314970836,0.7554115359688918,0.05573558003888529,0.024497731691510045,4900.0,5934.0,663.0,715.0,7451.0,9025.0,8981.5,856.8614726624913,0.004310361360283297,False
2021-03-03,4702,697,143,157,136,418,208,793,2021,3,2,0,0,9,spring,7254,0.648194099807003,0.7442790184725668,0.060104769782189135,0.02867383512544803,5078.0,4900.0,750.0,663.0,7715.0,7451.0,8445.25,832.0647010098834,0.0025681590165921586,False
2021-03-04,4359,627,106,123,159,341,191,707,2021,3,3,0,0,9,spring,6613,0.6591562074701346,0.7539694541055497,0.05867231211250567,0.02888250415847573,4702.0,5078.0,697.0,750.0,7254.0,7715.0,7861.25,542.5234249934896,0.010649487276907284,False
2021-03-05,4712,709,179,180,153,494,191,864,2021,3,4,0,0,9,spring,7482,0.6297781341887196,0.7245388933440257,0.06843090082865544,0.025527933707564822,4359.0,4702.0,627.0,697.0,6613.0,7254.0,7258.25,308.1605371663712,0.03632093455874668,True
2021-03-06,5785,741,159,179,170,720,289,931,2021,3,5,0,1,9,spring,8974,0.6446400713171384,0.7272119456206819,0.05660797860485848,0.03220414530866949,4712.0,4359.0,709.0,627.0,7482.0,6613.0,7266.0,293.63398418212165,0.00948793749350533,False
2021-03-07,5410,685,166,169,181,648,311,879,2021,3,6,0,0,9,spring,8449,0.6403124630133744,0.721387146407859,0.06107231625044384,0.03680908983311634,5785.0,4712.0,741.0,709.0,8974.0,7482.0,7580.75,619.1426868393638,0.008286642654910144,False
2021-03-08,5090,760,126,133,134,534,157,782,2021,3,0,1,0,10,spring,7716,0.65966822187662,0.7581648522550545,0.05093312597200622,0.020347330222913428,5410.0,5785.0,685.0,741.0,8449.0,8974.0,7879.5,648.1926154058425,0.009898651000095866,False
2021-03-09,4811,730,101,136,116,374,230,754,2021,3,1,0,0,10,spring,7252,0.6634031991174848,0.7640650854936569,0.04867622724765582,0.031715388858246,5090.0,5410.0,760.0,685.0,7716.0,8449.0,8155.25,457.1165970880222,0.011975440335358219,False
2021-03-10,4911,639,132,132,150,493,235,779,2021,3,2,0,0,10,spring,7471,0.6573417213224468,0.7428724401017267,0.05541426850488556,0.03145495917547852,4811.0,5090.0,730.0,760.0,7252.0,7716.0,8097.75,419.46076495106576,0.0018481772071337861,False
