,MAE,MAPE,RMSE,R2,Accuracy,CV_MAE,Best_Params
Linear Regression,13.459698567889445,4.8775040467212625,21.581763442572875,0.7401516717047892,0.7401516717047892,16.131915731401982,{}
Ridge,13.593328355769966,4.889037954933154,21.58789705896665,0.7401517594756077,0.7401517594756077,16.41004646167321,{'alpha': 0.01}
Lasso,14.945985646957913,5.035124936697697,22.13517983668683,0.7393533166396178,0.7393533166396178,16.051099939915918,{'alpha': 0.1}
ElasticNet,15.602805661791995,5.090199480181845,22.641702704575884,0.7373056763789593,0.7373056763789593,16.49105286010523,"{'alpha': 0.1, 'l1_ratio': 0.95}"
Extra Trees,17.96450295426642,5.978441466151468,26.379494981660542,0.6243727695152774,0.6243727695152774,20.818094290123476,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}"
Ensemble,13.942026156962466,,21.61280188926235,0.7411288529553338,0.7411288529553338,N/A,N/A
